"Story","Title","Result","Date","Stability","Duration (s)"
"Gurukula Application accessibility","Verify application is Launched and initial screen is loaded properly","SUCCESS","2018-10-01T22:53:54.665+02:00[Europe/Paris]","0.0","10.39"
"Manage account settings","Verify user details are not updated When save button is not clicked","SUCCESS","2018-10-01T22:54:52.785+02:00[Europe/Paris]","0.0","9.78"
"Authenticate valid users into the application","Verify user with Invalid credentials is not authenticated into the application","SUCCESS","2018-10-01T22:55:22.758+02:00[Europe/Paris]","0.0","5.25"
"Authenticate valid users into the application","Verify user with valid credentials is authenticated into the application","SUCCESS","2018-10-01T22:55:28.005+02:00[Europe/Paris]","0.0","5.18"
"Authenticate valid users into the application","Verify Logout from the application and Database is not accessible","SUCCESS","2018-10-01T22:55:33.202+02:00[Europe/Paris]","0.0","6.33"
"Validate the View of Login form and other components","Verify navigation to Registration is possible from Login screen","SUCCESS","2018-10-01T22:55:39.53+02:00[Europe/Paris]","0.0","4.22"
"Validate the View of Login form and other components","Verify navigation to Reset password is possible from Login screen","SUCCESS","2018-10-01T22:55:43.749+02:00[Europe/Paris]","0.0","4.3"
"Register a new user","Verify user registration is not possible when one of the mandatory fields are not supplied","SUCCESS","2018-10-01T22:55:48.044+02:00[Europe/Paris]","0.0","7.96"
"Register a new user","register a user on gurukula application with password mismatch","SUCCESS","2018-10-01T22:56:19.126+02:00[Europe/Paris]","0.0","12.56"
"Register a new user","register a user on gurukula application with Existing userName","SUCCESS","2018-10-01T22:56:31.689+02:00[Europe/Paris]","0.0","8.3"
"Register a new user","register a user on gurukula application with existing Email","SUCCESS","2018-10-01T22:56:39.984+02:00[Europe/Paris]","0.0","8.39"
"Validate Input fields of Registration","Verify Login field on registration is only lower-case letters and digits","SUCCESS","2018-10-01T22:56:48.376+02:00[Europe/Paris]","0.0","33.73"
"Reset password of a user and validate other fields","Verify reset password for a Invalid email is not successful","SUCCESS","2018-10-01T22:59:03.841+02:00[Europe/Paris]","0.0","5.07"
"Delete a branch from Gurukula database","Verify branch is deleted upon Clicking Delete button","SUCCESS","2018-10-01T23:01:25.665+02:00[Europe/Paris]","0.0","9.01"
"Delete a branch from Gurukula database","Verify branch is not deleted upon Clicking Cancel button","SUCCESS","2018-10-01T23:01:34.674+02:00[Europe/Paris]","0.0","8.87"
"Edit a branch on Gurukula Application","verify user can edit an existing record","SUCCESS","2018-10-01T23:01:43.546+02:00[Europe/Paris]","0.0","20.77"
"Edit a branch on Gurukula Application","verify user A record is not Updated when Changes are not Saved","SUCCESS","2018-10-01T23:02:04.315+02:00[Europe/Paris]","0.0","27.5"
"Fetch a Branch from Gurukula Database",": Verify user can fetch a record when search with a Exact value","SUCCESS","2018-10-01T23:02:31.817+02:00[Europe/Paris]","0.0","26.71"
"Fetch a Branch from Gurukula Database",": Verify user can't fetch a record when search with a Partial value","SUCCESS","2018-10-01T23:02:58.522+02:00[Europe/Paris]","0.0","36.32"
"Validate UI fields of Branch creation form","Verify Name field on Branch form accepts only Alphabets","SUCCESS","2018-10-01T23:03:34.84+02:00[Europe/Paris]","0.0","51.76"
"Validate UI fields of Branch creation form","Verify Code field on Branch form accepts only Alphanumeric values","SUCCESS","2018-10-01T23:04:26.603+02:00[Europe/Paris]","0.0","52.57"
"Create a Staff member on Gurukula application","Verify creation of staff is successful when valid parameters are provided","SUCCESS","2018-10-01T23:05:19.168+02:00[Europe/Paris]","0.0","58.31"
"Delete a Staff from Gurukula database","Verify employee is deleted upon Clicking Delete button","SUCCESS","2018-10-01T23:06:17.477+02:00[Europe/Paris]","0.0","9.03"
"Delete a Staff from Gurukula database","Verify employee is not deleted upon Clicking Cancel button","SUCCESS","2018-10-01T23:06:26.51+02:00[Europe/Paris]","0.0","8.71"
"Edit Staff details on Gurukula Application","verify user can edit an existing EmployeeDetails","SUCCESS","2018-10-01T23:06:35.219+02:00[Europe/Paris]","0.0","23.87"
"Edit Staff details on Gurukula Application","verify user A record is not Updated when Changes are not Saved","SUCCESS","2018-10-01T23:06:59.089+02:00[Europe/Paris]","0.0","24.41"
"Fetch a Employee from Gurukula Database",": Verify user can't fetch a record when search with a Partial value","SUCCESS","2018-10-01T23:07:58.663+02:00[Europe/Paris]","0.0","39.14"
"Validate all the UI fields and interactions of staff creation flow","Verify Name field on Staff form accepts only Alphabets","SUCCESS","2018-10-01T23:08:37.8+02:00[Europe/Paris]","0.0","47.21"
