"Story","Title","Result","Date","Stability","Duration (s)"
"Verify session information is accessible","Verify active session can be Invalidated and user access is revoked","ERROR","2018-10-01T22:54:05.051+02:00[Europe/Paris]","0.0","19.29"
"Manage account settings","Verify user is able to reset his password from change password screen","ERROR","2018-10-01T22:55:02.563+02:00[Europe/Paris]","0.0","20.2"
"Authenticate valid users into the application","Verify user with Invalid credentials is not authenticated into the application","SUCCESS","2018-10-01T22:55:22.758+02:00[Europe/Paris]","0.0","5.25"
"Authenticate valid users into the application","Verify Logout from the application and Database is not accessible","SUCCESS","2018-10-01T22:55:33.202+02:00[Europe/Paris]","0.0","6.33"
"Register a new user","Verify user registration is not possible when one of the mandatory fields are not supplied","SUCCESS","2018-10-01T22:55:48.044+02:00[Europe/Paris]","0.0","7.96"
"Register a new user","register a user on gurukula application with Valid parameters","ERROR","2018-10-01T22:55:56.001+02:00[Europe/Paris]","0.0","23.13"
"Register a new user","register a user on gurukula application with password mismatch","SUCCESS","2018-10-01T22:56:19.126+02:00[Europe/Paris]","0.0","12.56"
"Reset password of a user and validate other fields","Verify reset password for a valid email is successful","ERROR","2018-10-01T22:58:53.585+02:00[Europe/Paris]","0.0","10.24"
"Create a Staff member on Gurukula application","Verify creation of staff is successful when valid parameters are provided","SUCCESS","2018-10-01T23:05:19.168+02:00[Europe/Paris]","0.0","58.31"
"Delete a Staff from Gurukula database","Verify employee is deleted upon Clicking Delete button","SUCCESS","2018-10-01T23:06:17.477+02:00[Europe/Paris]","0.0","9.03"
"Edit Staff details on Gurukula Application","verify user can edit an existing EmployeeDetails","SUCCESS","2018-10-01T23:06:35.219+02:00[Europe/Paris]","0.0","23.87"
"Fetch a Employee from Gurukula Database",": Verify user can fetch a Employee when search with a Exact value","FAILURE","2018-10-01T23:07:23.498+02:00[Europe/Paris]","0.0","35.17"
