"Story","Title","Result","Date","Stability","Duration (s)"
"Verify session information is accessible","Verify active session can be Invalidated and user access is revoked","ERROR","2018-10-01T22:54:05.051+02:00[Europe/Paris]","0.0","19.29"
"Manage account settings","Verify user can update his details from accountSetting","ERROR","2018-10-01T22:54:24.34+02:00[Europe/Paris]","0.0","28.45"
"Manage account settings","Verify user details are not updated When save button is not clicked","SUCCESS","2018-10-01T22:54:52.785+02:00[Europe/Paris]","0.0","9.78"
"Manage account settings","Verify user is able to reset his password from change password screen","ERROR","2018-10-01T22:55:02.563+02:00[Europe/Paris]","0.0","20.2"
"Authenticate valid users into the application","Verify user with Invalid credentials is not authenticated into the application","SUCCESS","2018-10-01T22:55:22.758+02:00[Europe/Paris]","0.0","5.25"
"Authenticate valid users into the application","Verify user with valid credentials is authenticated into the application","SUCCESS","2018-10-01T22:55:28.005+02:00[Europe/Paris]","0.0","5.18"
"Authenticate valid users into the application","Verify Logout from the application and Database is not accessible","SUCCESS","2018-10-01T22:55:33.202+02:00[Europe/Paris]","0.0","6.33"
"Register a new user","Verify user registration is not possible when one of the mandatory fields are not supplied","SUCCESS","2018-10-01T22:55:48.044+02:00[Europe/Paris]","0.0","7.96"
"Register a new user","register a user on gurukula application with Valid parameters","ERROR","2018-10-01T22:55:56.001+02:00[Europe/Paris]","0.0","23.13"
"Register a new user","register a user on gurukula application with password mismatch","SUCCESS","2018-10-01T22:56:19.126+02:00[Europe/Paris]","0.0","12.56"
"Register a new user","register a user on gurukula application with Existing userName","SUCCESS","2018-10-01T22:56:31.689+02:00[Europe/Paris]","0.0","8.3"
"Register a new user","register a user on gurukula application with existing Email","SUCCESS","2018-10-01T22:56:39.984+02:00[Europe/Paris]","0.0","8.39"
"Reset password of a user and validate other fields","Verify reset password for a valid email is successful","ERROR","2018-10-01T22:58:53.585+02:00[Europe/Paris]","0.0","10.24"
"Reset password of a user and validate other fields","Verify reset password for a Invalid email is not successful","SUCCESS","2018-10-01T22:59:03.841+02:00[Europe/Paris]","0.0","5.07"
"Create a Branch on Gurukula application","Verify creation of branch is successful when valid parameters are provided","FAILURE","2018-10-01T23:00:09.799+02:00[Europe/Paris]","0.0","75.87"
"Delete a branch from Gurukula database","Verify branch is deleted upon Clicking Delete button","SUCCESS","2018-10-01T23:01:25.665+02:00[Europe/Paris]","0.0","9.01"
"Delete a branch from Gurukula database","Verify branch is not deleted upon Clicking Cancel button","SUCCESS","2018-10-01T23:01:34.674+02:00[Europe/Paris]","0.0","8.87"
"Edit a branch on Gurukula Application","verify user can edit an existing record","SUCCESS","2018-10-01T23:01:43.546+02:00[Europe/Paris]","0.0","20.77"
"Edit a branch on Gurukula Application","verify user A record is not Updated when Changes are not Saved","SUCCESS","2018-10-01T23:02:04.315+02:00[Europe/Paris]","0.0","27.5"
"Fetch a Branch from Gurukula Database",": Verify user can fetch a record when search with a Exact value","SUCCESS","2018-10-01T23:02:31.817+02:00[Europe/Paris]","0.0","26.71"
"Fetch a Branch from Gurukula Database",": Verify user can't fetch a record when search with a Partial value","SUCCESS","2018-10-01T23:02:58.522+02:00[Europe/Paris]","0.0","36.32"
"Create a Staff member on Gurukula application","Verify creation of staff is successful when valid parameters are provided","SUCCESS","2018-10-01T23:05:19.168+02:00[Europe/Paris]","0.0","58.31"
"Delete a Staff from Gurukula database","Verify employee is deleted upon Clicking Delete button","SUCCESS","2018-10-01T23:06:17.477+02:00[Europe/Paris]","0.0","9.03"
"Delete a Staff from Gurukula database","Verify employee is not deleted upon Clicking Cancel button","SUCCESS","2018-10-01T23:06:26.51+02:00[Europe/Paris]","0.0","8.71"
"Edit Staff details on Gurukula Application","verify user can edit an existing EmployeeDetails","SUCCESS","2018-10-01T23:06:35.219+02:00[Europe/Paris]","0.0","23.87"
"Edit Staff details on Gurukula Application","verify user A record is not Updated when Changes are not Saved","SUCCESS","2018-10-01T23:06:59.089+02:00[Europe/Paris]","0.0","24.41"
"Fetch a Employee from Gurukula Database",": Verify user can fetch a Employee when search with a Exact value","FAILURE","2018-10-01T23:07:23.498+02:00[Europe/Paris]","0.0","35.17"
"Fetch a Employee from Gurukula Database",": Verify user can't fetch a record when search with a Partial value","SUCCESS","2018-10-01T23:07:58.663+02:00[Europe/Paris]","0.0","39.14"
