"Story","Title","Result","Date","Stability","Duration (s)"
"Gurukula Application accessibility","Verify application is Launched and initial screen is loaded properly","SUCCESS","2018-10-01T22:53:54.665+02:00[Europe/Paris]","0.0","10.39"
"Validate the View of Login form and other components","Verify navigation to Registration is possible from Login screen","SUCCESS","2018-10-01T22:55:39.53+02:00[Europe/Paris]","0.0","4.22"
"Validate the View of Login form and other components","Verify navigation to Reset password is possible from Login screen","SUCCESS","2018-10-01T22:55:43.749+02:00[Europe/Paris]","0.0","4.3"
"Validate Input fields of Registration","Verify Login field on registration is only lower-case letters and digits","SUCCESS","2018-10-01T22:56:48.376+02:00[Europe/Paris]","0.0","33.73"
"Validate Input fields of Registration","Verify Email field accepts only valid Registration Formats","ERROR","2018-10-01T22:57:22.106+02:00[Europe/Paris]","0.0","58.06"
"Validate Input fields of Registration","Verify password field accepts only valid Registration Formats","ERROR","2018-10-01T22:58:20.165+02:00[Europe/Paris]","0.0","33.42"
"Reset password of a user and validate other fields","Verify Email field accepts only valid Registration Formats","ERROR","2018-10-01T22:59:08.91+02:00[Europe/Paris]","0.0","60.89"
"Validate UI fields of Branch creation form","Verify Name field on Branch form accepts only Alphabets","SUCCESS","2018-10-01T23:03:34.84+02:00[Europe/Paris]","0.0","51.76"
"Validate UI fields of Branch creation form","Verify Code field on Branch form accepts only Alphanumeric values","SUCCESS","2018-10-01T23:04:26.603+02:00[Europe/Paris]","0.0","52.57"
"Validate all the UI fields and interactions of staff creation flow","Verify Name field on Staff form accepts only Alphabets","SUCCESS","2018-10-01T23:08:37.8+02:00[Europe/Paris]","0.0","47.21"
"Validate all the UI fields and interactions of staff creation flow","Verify user can not access page navigation buttons when there are no buttons","FAILURE","2018-10-01T23:09:25.012+02:00[Europe/Paris]","0.0","13.66"
