"Story","Title","Result","Date","Stability","Duration (s)"
"Authenticate valid users into the application","Verify user with Invalid credentials is not authenticated into the application","SUCCESS","2018-10-01T22:55:22.758+02:00[Europe/Paris]","0.0","5.25"
"Authenticate valid users into the application","Verify user with valid credentials is authenticated into the application","SUCCESS","2018-10-01T22:55:28.005+02:00[Europe/Paris]","0.0","5.18"
"Authenticate valid users into the application","Verify Logout from the application and Database is not accessible","SUCCESS","2018-10-01T22:55:33.202+02:00[Europe/Paris]","0.0","6.33"
"Register a new user","Verify user registration is not possible when one of the mandatory fields are not supplied","SUCCESS","2018-10-01T22:55:48.044+02:00[Europe/Paris]","0.0","7.96"
"Register a new user","register a user on gurukula application with Valid parameters","ERROR","2018-10-01T22:55:56.001+02:00[Europe/Paris]","0.0","23.13"
"Register a new user","register a user on gurukula application with password mismatch","SUCCESS","2018-10-01T22:56:19.126+02:00[Europe/Paris]","0.0","12.56"
"Register a new user","register a user on gurukula application with Existing userName","SUCCESS","2018-10-01T22:56:31.689+02:00[Europe/Paris]","0.0","8.3"
"Register a new user","register a user on gurukula application with existing Email","SUCCESS","2018-10-01T22:56:39.984+02:00[Europe/Paris]","0.0","8.39"
"Reset password of a user and validate other fields","Verify reset password for a valid email is successful","ERROR","2018-10-01T22:58:53.585+02:00[Europe/Paris]","0.0","10.24"
"Reset password of a user and validate other fields","Verify reset password for a Invalid email is not successful","SUCCESS","2018-10-01T22:59:03.841+02:00[Europe/Paris]","0.0","5.07"
